idDatosGrasas,codigoGrasa,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Indice de Carga-Desgaste,"Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Corrion EMCOR,Corrosión al Cobre,Prueba FZG,Registro NSF,"Solidos Totales, %","Tamaño de Particula, µ",Bombeabilidad,Clasificacion ISO 6743-9,"Presion de Flujo a -30°C, mbar","Separacion del Aceite, %",Prevencion a la Corrosion,Estabilidad a la Oxidacion,Resistencia a la Humedad,pH,Factor de Torque,"Viscosidad Dinámica a 25°C, cP",Biodegradabilidad en 28 dias (> 60%),Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura
26,Grasa_25,Mineral USP,,2.0,220.0,270,270,6.3,300.0,,,40,2.5,,,,,,,,,,,,,,,,,,350000.0,-5,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones en la industria alimenticia,  en donde se requiere una alta resistencia a condiciones de humedad, vapores ácidos y desinfectantes utilizados en la industria alimenticia. 
Los componentes con los que se utilizan en su elaboración cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos según el CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations) .","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Alta resistencia a la humedad.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en mediana y alta velocidad.","El producto esta especialmente diseñada para la lubricación de rodamientos de mediana y baja velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto  tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos en los cuales las condiciones de contaminación sean extremas.
@El producto es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Cristalino,Suave
27,Grasa_26,Mineral USP,Complejo Sulfonato de Calcio,1.0,100.0,325,304,1.4,500.0,0.35,,40,0.02,,,,154453.0,,,,,,,,,,,,,,900000.0,-5,180,Grasa,Grasa de alta resistencia para industria alimenticia y farmacéutica.,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios químicos común-mente utilizados en la industria alimenticia. 
Se recomienda para aplicaciones especiales y generales en la industria alimenticia, resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.","Excelente protección contra el desgaste.
@Buena resistencia al lavado por agua, vapores y desinfectantes.
@Excelente adherencia a partes metálicas en movimiento.
@Gran resistencia a la corrosión y herrumbre.","Especialmente diseñada para la lubricación de mecanismos de mediana a alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@Cuenta con un excelente desempeño en la lubricación de rodamientos, guías, correderas, bujes, engranes pequeños y elementos mecánicos.
@El producto es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Beige,Suave
28,Grasa_27,Mineral USP,Complejo Sulfonato de Calcio,2.0,100.0,290,304,1.4,500.0,0.35,,40,0.02,,,,154453.0,,,,,,,,,,,,,,900000.0,-5,180,Grasa,Grasa de alta resistencia para industria alimenticia y farmacéutica.,"El producto es una grasa lubricante formulada con una base altamente resistente a la humedad y medios químicos común-mente utilizados en la industria alimenticia. 
Se recomienda para aplicaciones especiales y generales en la industria alimenticia, resistente a altas temperaturas, condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia.","Excelente protección contra el desgaste.
@Buena resistencia al lavado por agua, vapores y desinfectantes.
@Excelente adherencia a partes metálicas en movimiento.
@Gran resistencia a la corrosión y herrumbre.","Especialmente diseñada para la lubricación de mecanismos de mediana a alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@Cuenta con un excelente desempeño en la lubricación de rodamientos, guías, correderas, bujes, engranes pequeños y elementos mecánicos.
@El producto es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.",Beige,Suave
29,Grasa_28,Mineral HT,Complejo Sulfonato de Calcio,0.0,3500.0,365,140,1.6,620.0,0.45,,60,,,,,,,,,,,,,,,,,,,,-5,150,Grasa,Lubricante especial para engranes de palas mecánicas.,"El producto es un lubricante especial para sistemas de engranajes abiertos sujetos a grandes presiones en aplicaciones de minería.
Está formulado con una mezcla de básicos de alta viscosidad, aditivos de adherencia así como de extrema presión, antidesgaste, y anti-corrosivos que proveen una película lubricante de gran polaridad que previene el contacto entre las superficies de los dientes evitando así el desgaste y aportando alta resistencia a las condiciones medioambientales. ","Alta polaridad a la superficie de los engrane.
@Excelente protección anti-degaste.
@Alto soporte de carga extrema.
@Película lubricante adhesiva.
@Excelente protección en ambientes agresivos
@Mínimo escurrimiento en aplicación.",Es recomendado para la lubricación de engranes y cables de palas mecánicas,Negro,Viscosa adherente
30,Grasa_29,Mineral HT,Complejo de Aluminio - Poliurea,1.0,680.0,310,260,6.5,620.0,0.48,98.0,50,1.45,,1a,,,,,,,,,,,,,,,,200000.0,-10,150,Grasa,Grasa lubricante con alta resistencia a humedad y medios químicos con alto soporte a cargas extremas.,"El producto es un grasa lubricante con propiedades especiales de gran adhesión y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus características es ideal para la lubricación de mecanismos que operan en velocidades bajas, además proporciona excelentes propiedades de sellado contra los medios húmedos y contaminantes agresivos como sustancias alcalinas y acidas.","Excelente soporte de carga extrema.
@Excelente resistencia al lavado por agua.
@Alta resistencia a medios químicos agresivos.
@Excelente adherencia a partes en movimiento.
@Gran protección contra la corrosión.","Lubricación de rodamientos en:
@Procesos de laminación en caliente y frio.
@Máquinas de tratamiento húmedo textil.
@Secadoras de papel y cartón.
@Procesos de decapado.",Beige,Adherente
31,Grasa_30,Mineral HT,Complejo de Aluminio - Poliurea,1.5,680.0,300,260,6.5,620.0,0.48,98.0,50,1.45,,1a,,,,,,,,,,,,,,,,200000.0,-5,150,Grasa,Grasa lubricante con alta resistencia a humedad y medios químicos con alto soporte a cargas extremas.,"El producto es un grasa lubricante con propiedades especiales de gran adhesión y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus características es ideal para la lubricación de mecanismos que operan en velocidades bajas, además proporciona excelentes propiedades de sellado contra los medios húmedos y contaminantes agresivos como sustancias alcalinas y acidas.","Excelente soporte de carga extrema.
@Excelente resistencia al lavado por agua.
@Alta resistencia a medios químicos agresivos.
@Excelente adherencia a partes en movimiento.
@Gran protección contra la corrosión.","Lubricación de rodamientos en:
@Procesos de laminación en caliente y frio.
@Máquinas de tratamiento húmedo textil.
@Secadoras de papel y cartón.
@Procesos de decapado.",Beige,Adherente
32,Grasa_31,Mineral HT,Complejo de Aluminio - Poliurea,2.0,680.0,275,260,6.5,620.0,0.48,98.0,50,1.45,,1a,,,,,,,,,,,,,,,,200000.0,-5,150,Grasa,Grasa lubricante con alta resistencia a humedad y medios químicos con alto soporte a cargas extremas.,"El producto es un grasa lubricante con propiedades especiales de gran adhesión y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus características es ideal para la lubricación de mecanismos que operan en velocidades bajas, además proporciona excelentes propiedades de sellado contra los medios húmedos y contaminantes agresivos como sustancias alcalinas y acidas.","Excelente soporte de carga extrema.
@Excelente resistencia al lavado por agua.
@Alta resistencia a medios químicos agresivos.
@Excelente adherencia a partes en movimiento.
@Gran protección contra la corrosión.","Lubricación de rodamientos en:
@Procesos de laminación en caliente y frio.
@Máquinas de tratamiento húmedo textil.
@Secadoras de papel y cartón.
@Procesos de decapado.",Beige,Adherente
33,Grasa_32,Mineral HT,Complejo de Aluminio - Poliurea,3.0,680.0,230,260,5.2,620.0,0.48,98.0,50,0.32,,1a,,,,,,,,,,,,,,,,200000.0,5,150,Grasa,Grasa lubricante con alta resistencia a humedad y medios químicos con alto soporte a cargas extremas.,"El producto es un grasa lubricante con propiedades especiales de gran adhesión y elevado soporte a cargas extremas, esta elaborada a base de aceites minerales altamente refinados espesados con un agente complejo de Aluminio-Poliurea.
Por sus características es ideal para la lubricación de mecanismos que operan en velocidades bajas, además proporciona excelentes propiedades de sellado contra los medios húmedos y contaminantes agresivos como sustancias alcalinas y acidas.","Excelente soporte de carga extrema.
@Excelente resistencia al lavado por agua.
@Alta resistencia a medios químicos agresivos.
@Excelente adherencia a partes en movimiento.
@Gran protección contra la corrosión.","Lubricación de rodamientos en:
@Procesos de laminación en caliente y frio.
@Máquinas de tratamiento húmedo textil.
@Secadoras de papel y cartón.
@Procesos de decapado.",Beige,Adherente
34,Grasa_33,Mineral,Complejo de Poliurea,0.0,120.0,415,190,11,315.0,,,45,,,,,,,,,,,,,,,,,,,400000.0,-15,110,Grasa,Grasas universal de larga duración.,"El producto es una grasa lubricante para aplicaciones donde los requerimientos técnicos exigen un rendimiento de larga duración, están elaboradas a base de aceites minerales de alta refinación, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidación, corrosión y carga, logrando con ello excelentes propiedades lubricantes para múltiples aplicaciones.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad a la fuerza dinámica y presión.
@Excelente protección contra el desgaste.
@Excelente protección contra la corrosión y herrumbre.
@Resistente contra agua, vapor y soluciones ácidas y alcalinas.
@Alta adherencia a los metales.","El producto están formuladas para satisfacer en forma general la lubricación de rodamientos, cojinetes lisos y mecanismos en lubricación de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcción, en transportadores, montacargas, imprentas, motores eléctricos, máquinas-herramientas, etc.",Beige,Suave
35,Grasa_34,Mineral,Complejo de Poliurea,0.0,120.0,370,230,11,315.0,,,45,,,,,,,,,,,,,,,,,,,400000.0,-15,110,Grasa,Grasas universal de larga duración.,"El producto es una grasa lubricante para aplicaciones donde los requerimientos técnicos exigen un rendimiento de larga duración, están elaboradas a base de aceites minerales de alta refinación, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidación, corrosión y carga, logrando con ello excelentes propiedades lubricantes para múltiples aplicaciones.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad a la fuerza dinámica y presión.
@Excelente protección contra el desgaste.
@Excelente protección contra la corrosión y herrumbre.
@Resistente contra agua, vapor y soluciones ácidas y alcalinas.
@Alta adherencia a los metales.","El producto están formuladas para satisfacer en forma general la lubricación de rodamientos, cojinetes lisos y mecanismos en lubricación de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcción, en transportadores, montacargas, imprentas, motores eléctricos, máquinas-herramientas, etc.",Beige,Suave
36,Grasa_35,Mineral,Complejo de Poliurea,1.0,120.0,315,235,6.2,315.0,,,45,2.5,,,,,,,,,,,,,,,,,,400000.0,-15,110,Grasa,Grasas universal de larga duración.,"El producto es una grasa lubricante para aplicaciones donde los requerimientos técnicos exigen un rendimiento de larga duración, están elaboradas a base de aceites minerales de alta refinación, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidación, corrosión y carga, logrando con ello excelentes propiedades lubricantes para múltiples aplicaciones.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad a la fuerza dinámica y presión.
@Excelente protección contra el desgaste.
@Excelente protección contra la corrosión y herrumbre.
@Resistente contra agua, vapor y soluciones ácidas y alcalinas.
@Alta adherencia a los metales.","El producto están formuladas para satisfacer en forma general la lubricación de rodamientos, cojinetes lisos y mecanismos en lubricación de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcción, en transportadores, montacargas, imprentas, motores eléctricos, máquinas-herramientas, etc.",Beige,Suave
37,Grasa_36,Mineral,Complejo de Poliurea,1.5,120.0,310,235,5.8,315.0,,,45,2.4,,,,,,,,,,,,,,,,,,400000.0,-15,110,Grasa,Grasas universal de larga duración.,"El producto es una grasa lubricante para aplicaciones donde los requerimientos técnicos exigen un rendimiento de larga duración, están elaboradas a base de aceites minerales de alta refinación, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidación, corrosión y carga, logrando con ello excelentes propiedades lubricantes para múltiples aplicaciones.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad a la fuerza dinámica y presión.
@Excelente protección contra el desgaste.
@Excelente protección contra la corrosión y herrumbre.
@Resistente contra agua, vapor y soluciones ácidas y alcalinas.
@Alta adherencia a los metales.","El producto están formuladas para satisfacer en forma general la lubricación de rodamientos, cojinetes lisos y mecanismos en lubricación de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcción, en transportadores, montacargas, imprentas, motores eléctricos, máquinas-herramientas, etc.",Beige,Suave
38,Grasa_37,Mineral,Complejo de Poliurea,2.0,120.0,276,235,5.3,315.0,,,45,2.4,,,,,,,,,,,,,,,,,,400000.0,-15,110,Grasa,Grasas universal de larga duración.,"El producto es una grasa lubricante para aplicaciones donde los requerimientos técnicos exigen un rendimiento de larga duración, están elaboradas a base de aceites minerales de alta refinación, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidación, corrosión y carga, logrando con ello excelentes propiedades lubricantes para múltiples aplicaciones.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad a la fuerza dinámica y presión.
@Excelente protección contra el desgaste.
@Excelente protección contra la corrosión y herrumbre.
@Resistente contra agua, vapor y soluciones ácidas y alcalinas.
@Alta adherencia a los metales.","El producto están formuladas para satisfacer en forma general la lubricación de rodamientos, cojinetes lisos y mecanismos en lubricación de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcción, en transportadores, montacargas, imprentas, motores eléctricos, máquinas-herramientas, etc.",Beige,Suave
39,Grasa_38,Mineral,Complejo de Poliurea,3.0,120.0,236,250,6,315.0,,,45,3.2,,,,,,,,,,,,,,,,,,350000.0,-10,120,Grasa,Grasas universal de larga duración.,"El producto es una grasa lubricante para aplicaciones donde los requerimientos técnicos exigen un rendimiento de larga duración, están elaboradas a base de aceites minerales de alta refinación, espesados con un agente especial a base de poliurea compleja y aditivada con un conjunto de componentes que aportan gran rendimiento en condiciones de oxidación, corrosión y carga, logrando con ello excelentes propiedades lubricantes para múltiples aplicaciones.","Alta estabilidad térmica y antioxidante.
@Excelente estabilidad a la fuerza dinámica y presión.
@Excelente protección contra el desgaste.
@Excelente protección contra la corrosión y herrumbre.
@Resistente contra agua, vapor y soluciones ácidas y alcalinas.
@Alta adherencia a los metales.","El producto están formuladas para satisfacer en forma general la lubricación de rodamientos, cojinetes lisos y mecanismos en lubricación de tipo universal y es apropiada en todo tipo de industrias tales como:  minera, acerera, textil, papelera, cementera, automotriz, embotelladora y en la construcción, en transportadores, montacargas, imprentas, motores eléctricos, máquinas-herramientas, etc.",Beige,Suave
40,Grasa_39,Mineral HT,Complejo Sulfonato de Calcio,0.0,1500.0,365,304,4.4,620.0,0.45,,60,3.7,,1a,,,,,,,,,Pasa,,,,,,,200000.0,-5,190,Grasa,Grasa de servicio pesado para alta resistencia térmica y larga duración.,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia térmica y antioxidante. Su configuración de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protección anticorrosiva y características de soporte de carga y anti-desgaste excep-cionales. ","Alta estabilidad térmica y antioxidante.
@Excelentes características de lavado por agua y sellado del rodamiento.
@Excelente estabilidad de trabajo mecánico.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.","Rodamientos expuestos a alta temperatura y cargas mecánicas.
@Rodamientos de trenes de laminado de metales.
@Rodamientos en condiciones de extremo lavado por agua.",Ambar,Adherente
41,Grasa_40,Mineral HT,Complejo Sulfonato de Calcio,1.5,1500.0,300,304,1,620.0,0.45,,60,0.3,,1a,,,,,,,,,Pasa,,,,,,,200000.0,-5,190,Grasa,Grasa de servicio pesado para alta resistencia térmica y larga duración.,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia térmica y antioxidante. Su configuración de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protección anticorrosiva y características de soporte de carga y anti-desgaste excep-cionales. ","Alta estabilidad térmica y antioxidante.
@Excelentes características de lavado por agua y sellado del rodamiento.
@Excelente estabilidad de trabajo mecánico.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.","Rodamientos expuestos a alta temperatura y cargas mecánicas.
@Rodamientos de trenes de laminado de metales.
@Rodamientos en condiciones de extremo lavado por agua.",Ambar,Adherente
42,Grasa_41,Mineral HT,Complejo Sulfonato de Calcio,2.0,1500.0,280,304,1,620.0,0.45,,60,0.3,,1a,,,,,,,,,Pasa,,,,,,,200000.0,-5,190,Grasa,Grasa de servicio pesado para alta resistencia térmica y larga duración.,"El producto es una grasa lubricante de servicio pesado, espesada con complejo sulfonato de calcio el cual por su naturaleza le provee una extraordinaria resistencia térmica y antioxidante. Su configuración de aditivos le permite mantener una excelente lubricidad y soporte de carga extrema en condiciones criticas de temperatura.
Posee excelentes propiedades sellantes y de resistencia a medios agresivos como emulsiones de aceite, mantiene una protección anticorrosiva y características de soporte de carga y anti-desgaste excep-cionales. ","Alta estabilidad térmica y antioxidante.
@Excelentes características de lavado por agua y sellado del rodamiento.
@Excelente estabilidad de trabajo mecánico.
@Alta resistencia a extrema presión y desgaste.
@Excelente protección contra corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.","Rodamientos expuestos a alta temperatura y cargas mecánicas.
@Rodamientos de trenes de laminado de metales.
@Rodamientos en condiciones de extremo lavado por agua.",Ambar,Adherente
43,Grasa_42,,Complejo de Litio,2.0,320.0,270,304,2.1,900.0,0.4,,60,1.2,,1a,,,,,,,,,,,,,,,,300000.0,-15,150,Grasa,Grasa para lubricación de equipo pesado con bisulfuro de molibdeno.,"El producto es una grasa lubricante de gran adherencia y consistencia, con excelente resistencia al lavado de agua, alto soporte de carga extrema y lubricantes solidos. 
Los aceites y la base de jabón complejo de litio especial proporciona una excelente estabilidad mecánica y térmica permitiendo trabajar bajo condiciones extremas de baja y alta temperatura. Su paquete de aditivos de extrema presión y anti-desgaste le permiten soportar las cargas más extremas de equipos fuera de mina además de proporcionar protección anticorrosiva tanto a aleaciones ferrosas como de cobre. 
Contiene 5 % de lubricantes sólidos para brindar una mayor resistencia a la película lubricante en condiciones extremas de vibración y carga.","Alta estabilidad térmica y anti-oxidante.
@Alta resistencia a extrema presión.
@Excelente protección contra el desgaste, corrosión y herrumbre.
@Alta adherencia a las partes metálicas en movimiento.
@Excelentes características de lavado por agua.","Lubricación centralizada de equipo pesado.
@Chasis y sistemas centralizados en palas mecánicas.
@Quinta rueda en camiones de carga.
@Rodamientos expuestos a alta carga y vibración.",Negro,Suave
44,Grasa_43,Mineral HC,Complejo de Litio,0.0,220.0,350 - 370,200,8,315.0,0.5,,45,4,,,,,,,,,,,,,,,,,,,-20,90,Grasa,Grasa lubricante para elementos mecánicos,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecánica,  térmica y una lubricación de larga vida.
Mantiene protección anticorrosiva y características de soporte de carga/anti-desgaste extraordinarias por largos periodos","Larga vida de lubricación.
@Amplio rango de temperaturas de operación.
@Excelente capacidad anti-desgaste.
@Excelente protección anti-corrosiva.
@Alta estabilidad térmica y antioxidante.",Para  lubricar mecanismos de cerraduras sujetas a fricción deslizante con componentes metálicos y plásticos,Beige,Suave Adherente
45,Grasa_44,Mineral HC,Complejo de Litio,1.0,220.0,310 - 330,280,5,315.0,0.5,,45,3,,,,,,,,,,,,,,,,,,,-20,90,Grasa,Grasa lubricante para elementos mecánicos,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecánica,  térmica y una lubricación de larga vida.
Mantiene protección anticorrosiva y características de soporte de carga/anti-desgaste extraordinarias por largos periodos","Larga vida de lubricación.
@Amplio rango de temperaturas de operación.
@Excelente capacidad anti-desgaste.
@Excelente protección anti-corrosiva.
@Alta estabilidad térmica y antioxidante.",Para  lubricar mecanismos de cerraduras sujetas a fricción deslizante con componentes metálicos y plásticos,Beige,Suave Adherente
46,Grasa_45,Mineral HC,Complejo de Litio,2.0,220.0,265 - 290,280,5,315.0,0.5,,45,3,,,,,,,,,,,,,,,,,,,-20,90,Grasa,Grasa lubricante para elementos mecánicos,"El producto es una grasa formulada con aceite base mineral, un espesante de Complejo de Litio y aditivos seleccionados que  dan como resultado excelente estabilidad mecánica,  térmica y una lubricación de larga vida.
Mantiene protección anticorrosiva y características de soporte de carga/anti-desgaste extraordinarias por largos periodos","Larga vida de lubricación.
@Amplio rango de temperaturas de operación.
@Excelente capacidad anti-desgaste.
@Excelente protección anti-corrosiva.
@Alta estabilidad térmica y antioxidante.",Para  lubricar mecanismos de cerraduras sujetas a fricción deslizante con componentes metálicos y plásticos,Beige,Suave Adherente
47,Grasa_46,Mineral USP,,1.0,40.0,310 - 340,> 230,< 15,250.0,,,> 40,< 5,,,,,,,,,,,,,,,,,,1000000.0,-10,160,Grasa,Grasa especial para alta velocidad en la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia. 
Los ingredientes con los que se utilizan en su elaboración cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos según CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en medianas y altas velocidades.
@Es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.
Resistencia a la humedad.","El producto esta especialmente diseñada para la lubricación de rodamientos de alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos.",Blanco,Suave
48,Grasa_47,Mineral USP,,2.0,40.0,265 - 295,> 230,< 15,250.0,,,> 40,< 5,,,,153194.0,,,,,,,,,,,,,,1000000.0,-10,160,Grasa,Grasa especial para alta velocidad en la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia. 
Los ingredientes con los que se utilizan en su elaboración cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos según CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en medianas y altas velocidades.
@Es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.
Resistencia a la humedad.","El producto esta especialmente diseñada para la lubricación de rodamientos de alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos.",Blanco,Suave
49,Grasa_22,Mineral USP,,3.0,40.0,220 - 250,> 230,< 15,250.0,,,> 40,< 5,,,,,,,,,,,,,,,,,,900000.0,-5,160,Grasa,Grasa especial para alta velocidad en la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones de alta velocidad en la industria alimenticia, es resistente a condiciones de humedad, vapores y desinfectantes utilizados en la industria alimenticia. 
Los ingredientes con los que se utilizan en su elaboración cumplen con las especificaciones marcadas por la FDA como lubricante para contacto accidental con alimentos según CFR (Code of Federal Regulations, 21 Parts 170-19 Food additives and related regulations). ","Evita la formación de grumos en rodamientos.
@Evita el escurrimiento inhibiendo la contaminación.
@Disminuye el consumo de lubricante.
@Excelentes propiedades antidesgaste.
@Desempeño sobresaliente en medianas y altas velocidades.
@Es poco reactiva y totalmente neutra a materiales orgánicos e inorgánicos, metales ferrosos, blandos, plásticos y cauchos.
Resistencia a la humedad.","El producto esta especialmente diseñada para la lubricación de rodamientos de alta velocidad en los cuales eventualmente se pudiera tener perdida de lubricante y este ultimo entrar en contacto con el alimento.
@El producto tiene excelente desempeño en la lubricación de guías, correderas, bujes y elementos mecánicos.",Blanco,Suave
50,Grasa_48,Semi-Sintetico,Bentonita,1.0,220.0,320,304,8,315.0,0.5,,40,3,,,,141297.0,,,,,,,,,,,,,,750000.0,-5,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia.
El producto está aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.","Excelente protección contra el desgaste.
@Buena resistencia al lavado por agua, vapores y desinfectantes.
@Excelente adherencia a partes metálicas en movimiento.
@Gran resistencia a la corrosión y herrumbre.","Lubricación de rodamientos, bujes y otros elementos en general en la industria alimenticia donde existe la posibilidad de contacto incidental con alimentos.
@Lubricación guías, correderas, bujes y elementos mecánicos de la industria de inyección en plástico.",Blanco,Suave
51,Grasa_49,Semi-Sintetico,Bentonita,1.5,220.0,300,304,8,315.0,0.5,,40,3,,,,141298.0,,,,,,,,,,,,,,750000.0,-5,160,Grasa,Grasa especial para la industria alimenticia y farmacéutica.,"El producto es una grasa lubricante para aplicaciones generales en la industria alimenticia.
El producto está aprobada por NSF como lubricante tipo H1 para contacto incidental con alimentos.","Excelente protección contra el desgaste.
@Buena resistencia al lavado por agua, vapores y desinfectantes.
@Excelente adherencia a partes metálicas en movimiento.
@Gran resistencia a la corrosión y herrumbre.","Lubricación de rodamientos, bujes y otros elementos en general en la industria alimenticia donde existe la posibilidad de contacto incidental con alimentos.
@Lubricación guías, correderas, bujes y elementos mecánicos de la industria de inyección en plástico.",Blanco,Suave
